Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,87,1,2.542474,8,82.83035,91.16965,,96.99364,,89.67447,,83.25637,93.78233,,93.38018,77.4447,,79.05014,85.88441
New Zealand,NZL,AP,87,1,2.28649,8,83.25015,90.74985,,96.99364,,89.67447,,83.25637,83.33897,,93.38018,77.4447,,89.04585,82.29129
Finland,FIN,WE/EU,86,3,2.924511,8,81.2038,90.7962,,88.12477,,72.20404,,83.25637,93.86793,,93.38018,75.27449,,92.72847,86.78268
Singapore,SGP,AP,85,4,2.0484,9,81.64063,88.35938,,,72.74066,89.67447,,83.25637,90.87188,89.10267,84.67139,77.4447,,89.39657,84.98613
Sweden,SWE,WE/EU,85,4,1.977693,8,81.75658,88.24342,,88.12477,,89.67447,,83.25637,83.51017,,93.38018,78.16811,,77.12115,86.78268
Switzerland,CHE,WE/EU,85,4,1.580087,7,82.40866,87.59134,,88.12477,,89.67447,,83.25637,87.96143,,84.67139,77.4447,,82.90813,
Norway,NOR,WE/EU,84,7,1.646693,7,81.29942,86.70058,,79.2559,,89.67447,,83.25637,81.19894,,86.0648,78.16811,,,87.68097
Netherlands,NLD,WE/EU,82,8,2.247029,8,78.31487,85.68513,,70.38703,,89.67447,,83.25637,89.15985,,84.67139,76.7213,,81.32986,83.18958
Germany,DEU,WE/EU,80,9,3.30976,8,74.57199,85.42801,,79.2559,,89.67447,,83.25637,90.52947,,84.67139,76.7213,,60.98773,77.7999
Luxembourg,LUX,WE/EU,80,9,1.954564,7,76.79452,83.20548,,79.2559,,72.20404,,83.25637,80.51412,,84.67139,74.55109,,86.06467,
Iceland,ISL,WE/EU,78,11,4.627051,7,70.41164,85.58836,,52.64929,,72.20404,,83.25637,86.76302,,84.67139,76.7213,,86.59076,
Australia,AUS,AP,77,12,1.317929,9,74.8386,79.1614,,79.2559,,72.20404,,71.02245,81.02773,83.41024,75.96259,75.99789,,75.89361,77.7999
Austria,AUT,WE/EU,77,12,1.568815,8,74.42715,79.57285,,79.2559,,72.20404,,71.02245,84.53738,,75.96259,75.27449,,77.99796,80.49474
